able bodied
about face
absent minded
absent mindedly
absent mindedness
accident prone
according to
Achilles heel
acid rain
across from
acute angle
Adams apple
ad hoc
ad lib
ad lib
affirmative action
African American
air bag
air base
air conditioned
air conditioner
air conditioning
aircraft carrier
air force
air raid
air time
a la carte
a la mode
alarm clock
all American
all around
all clear
all inclusive
all out
all right
all star
alma mater
american cheese
American dream
american eagle
american english
American Indian
american legion
american river
amusement park
answering machine
anti Semitic
anti Semitism
apart from
apartment building
apple cider
aptitude test
Arctic Circle
area code
armed forces
around the clock
artificial insemination
artificial intelligence
artificial respiration
Asian American
aside from
assembly line
assistant professor
associate degree
associate professor
athletes foot
Atlantic Ocean
atomic bomb
atomic energy
attache case
attorney general
avant garde
awe inspiring
baby boom
baby boomer
baby carriage
back alley
back beat
back bite
back burner
back cast
back country
back date
back door
back down
back end
back fat
back hand
back lot
back office
back order
back out
back pay
back pedal
back plane
back room
back row
back seat
bad language
bag lady
balance of power
balance sheet
bald eagle
ball boy
ball breaker
ball carrier
ball game
ball hawk
ball gown
ball point
Band Aid
barbed wire
bar code
bare bones
bargaining chip
bar mitzvah
basket case
bass guitar
bathing suit
bat mitzvah
bay window
beach ball
bear market
beauty parlor
because of
bed bug
bed head
bed linen
bed mate
bed pan
bed post
bed wetter
bell bottoms
bell pepper
best man
best selling
better off
between times
bib overalls
Big Apple
big brother
big cheese
big deal
big league
big league
big name
big shot
big time
big time
Bill of Rights
billy goat
birth certificate
birth control
birth date
black belt
black eye
black hole
black magic
black market
blank check
blind fold
blast furnace
blind date
blind side
blind spot
block letter
blood donor
blood pressure
blood type
blood vessel
blow dry
blue blood
blue cheese
blue chip
blue collar
blue jay
blue jeans
blue law
boa constrictor
boarding pass
boarding school
boat people
body language
body odor
bogged down
boiling point
bomb disposal
bona fide
bone dry
bone marrow
boo boo
boob tube
booby trap
booby trap
boom box
boot camp
born again
bottom line
bow tie
boxer shorts
box office
box spring
boy band
boy friend
Boy Scout
Boy Scouts
brand name
brand new
brass knuckles
break in
breaking point
breast fed
breast feed
breeding ground
bric a brac
broad minded
broken down
bronze medal
brush off
Brussels sprout
bubble gum
built in
bulletin board
bulls eye
bumper sticker
bungee jumping
bunk bed
burglar alarm
business administration
business card
bus stop
bye bye
by product
cable car
cable TV
calendar year
call girl
call in show
candy bar
canker sore
capital letter
capital punishment
carbon copy
carbon dioxide
carbon monoxide
carbon paper
card catalog
cardiac arrest
cardinal number
car pool
car pool
carrier pigeon 
carry on
car wash
case study
